entry_price,entry_time,direction,trend_direction,trend_strength,trend_bos_aligned,ob_near,ob_distance,ob_type,ob_size,ob_age,fvg_near,fvg_count,fvg_nearest_distance,fvg_size,fvg_type,ema_aligned,ema_trend,rsi_value,rsi_state,liquidity_near,liquidity_count,mtf_aligned,volatility,atr_value,price_position,distance_to_high,distance_to_low,volume_spike,volume_ratio,confluence_score,confluence_count,session,days_since_loss,streak_type,potential_rr,outcome,pnl,pnl_percent,exit_reason,holding_periods
10716.48,1520294400000,"long","up",0.9511696004658208,0,0,1,"none",0,0,1,2,1,0,"mixed",1,"up",52.67931081954019,"neutral",1,20,1,0.07378928795382707,790.7614285714286,0.625284372630228,0.26374798441279235,0.4401137313744811,0,0.7637990673797721,0.6666666666666666,4,"asian",0,"none",2,"LOSS",-147.5785759076542,-14.757857590765418,"SL",2
9910,1520380800000,"long","up",0.6763370332996973,0,0,1,"none",0,0,1,1,0.006357214934409688,0.027825733726007922,"bull",1,"up",52.96953795829357,"neutral",1,20,0,0.08271817788669454,819.7371428571429,0.5507811674618502,0.32179616548940465,0.3945499495459132,0,1.3136774393810948,0.5,3,"asian",0,"none",2,"LOSS",-165.43635577338912,-16.543635577338915,"SL",7
9271.64,1520467200000,"long","up",0.34537147689082404,0,0,1,"none",0,0,1,4,0.057903456130738336,0.04319055545760742,"bull",1,"up",51.01484945442611,"neutral",1,20,0,0.08675364567957465,804.3485714285714,0.4608585164931912,0.41280291296901095,0.35286421819656494,0,1.062218340149363,0.5,3,"asian",0,"none",2,"LOSS",-173.50729135914932,-17.350729135914932,"SL",7
9227,1520553600000,"long","up",0.16522054839058944,0,0,1,"none",0,0,1,4,0.05334561612658495,0.04319055545760742,"bull",1,"up",41.726928971343625,"neutral",1,20,0,0.08884693988140395,819.7907142857142,0.45457029802831106,0.41963801885770025,0.3497333911347133,0,1.6103340865523623,0.5,3,"asian",0,"none",2,"LOSS",-177.69387976280794,-17.769387976280793,"SL",9
8770.22,1520640000000,"long","up",0.5021755440570412,0,0,1,"none",0,0,1,2,0.04574799719961408,0.028165850161309517,"bull",1,"up",45.132203403948715,"neutral",1,21,0,0.09085152449343999,796.7878571428572,0.3902259335482934,0.4935771280538004,0.3158655085049177,0,0.9628343912112548,0.5,3,"asian",0,"none",2,"LOSS",-181.70304898687996,-18.170304898688,"SL",19
9533.57,1520726400000,"long","up",0.6223828009864043,0,0,1,"none",0,0,1,3,0.019255116393963618,0.02358288770053476,"bull",1,"up",42.04767244690882,"neutral",1,21,0,0.08895505940736637,848.0592857142857,0.5196572247084101,0.34260303328134156,0.3706439455524006,0,1.1427195451417265,0.5,3,"asian",0,"none",2,"LOSS",-177.9101188147327,-17.79101188147327,"SL",4
9131.34,1520812800000,"long","up",0.7791671320967094,0,0,1,"none",0,0,1,3,0.0434284562835246,0.04319055545760742,"bull",1,"up",42.37579793544754,"neutral",1,21,0,0.09298736940189344,849.0992857142857,0.5014950376281833,0.340876585473764,0.34292119228941204,0,1.0970809040404386,0.5,3,"asian",0,"none",2,"LOSS",-185.9747388037868,-18.597473880378683,"SL",6
9150,1520899200000,"long","up",0.7202065573770466,0,0,1,"none",0,0,1,3,0.045379234972677526,0.04319055545760742,"bull",1,"up",36.54060754033043,"neutral",1,21,0,0.0920327088212334,842.0992857142857,0.5044835113445089,0.33814207650273226,0.3442612021857923,0,1.0833950911388381,0.5,3,"asian",0,"none",2,"LOSS",-184.06541764246677,-18.40654176424668,"SL",5
8170,1520985600000,"long","up",0.8100024479804171,0,0,1,"none",0,0,1,1,0.039902080783353736,0.03518612952575217,"bull",1,"up",38.50204992515526,"neutral",1,21,0,0.10862816926036019,887.4921428571428,0.34753258733598225,0.4986536107711138,0.2656046511627907,0,1.3720130746629886,0.5,3,"asian",0,"none",2,"LOSS",-217.2563385207204,-21.72563385207204,"SL",91
8240.98,1521072000000,"long","up",0.8358653946496644,0,0,1,"none",0,0,1,2,0.015534560210072157,0.028165850161309517,"bull",1,"up",25.018259381324924,"oversold",1,21,0,0.10734229597520129,884.6057142857143,0.35890031854631405,0.48574562734043775,0.2719300374470026,0,1.4531556743312968,0.5,3,"asian",0,"none",2,"LOSS",-214.6845919504026,-21.46845919504026,"SL",17
8260,1521158400000,"long","up",0.757047215496368,0,1,0.010895883777239709,"bull",0.10729114764989205,2,1,2,0.013196125907990314,0.028165850161309517,"bull",1,"up",24.358321114369502,"oversold",1,21,0,0.10953061224489795,904.722857142857,0.3619464477041123,0.48232445520581113,0.2736065375302663,0,1.0817870651832844,0.6666666666666666,4,"asian",0,"none",2,"LOSS",-219.06122448979585,-21.906122448979584,"SL",16
7824.8,1521244800000,"long","up",0.8601893978120919,0,1,0.04411614354360492,"bull",0.10729114764989205,3,1,3,0.0006147121971169104,0.017136850558632455,"bull",1,"up",18.26958495229269,"oversold",1,21,0,0.11651379496691838,911.697142857143,0.29224742512399926,0.5647684285860342,0.23320596053573253,0,0.9167318410628467,0.6666666666666666,4,"asian",0,"none",2,"LOSS",-233.02758993383668,-23.30275899338367,"SL",97
