entry_price,entry_time,direction,trend_direction,trend_strength,trend_bos_aligned,ob_near,ob_distance,ob_type,ob_size,ob_age,fvg_near,fvg_count,fvg_nearest_distance,fvg_size,fvg_type,ema_aligned,ema_trend,rsi_value,rsi_state,liquidity_near,liquidity_count,mtf_aligned,volatility,atr_value,price_position,distance_to_high,distance_to_low,volume_spike,volume_ratio,confluence_score,confluence_count,session,days_since_loss,streak_type,potential_rr,outcome,pnl,pnl_percent,exit_reason,holding_periods
0.45367,1542758400000,"short","down",0.19174730531002493,1,0,1,"none",0,0,1,7,0.005135891727467099,0.04167589843576903,"bear",1,"down",29.531126049016734,"oversold",1,22,1,0.0994807427677135,0.045131428571428586,0.40025009117907584,0.2537306852998874,0.16933012983005266,0,1.7153462956701122,0.8333333333333334,5,"asian",0,"none",2,"LOSS",0,0,"TIMEOUT",100
0.42831,1542844800000,"short","down",0.04377670378930795,1,0,1,"none",0,0,1,2,0.029511335247834603,0.02737748694878149,"bear",1,"down",39.51640257789407,"neutral",1,22,1,0.1018771450584857,0.043635000000000014,0.2681185849007452,0.3279633910018443,0.120146622773225,0,0.8086990041110969,0.8333333333333334,5,"asian",0,"none",2,"LOSS",0,0,"TIMEOUT",100
0.41447,1542931200000,"short","down",0.23263444881414375,1,0,1,"none",0,0,1,2,0.0028952638309165412,0.02737748694878149,"bear",1,"down",33.036072591073264,"neutral",1,22,1,0.10878092159005133,0.045086428571428576,0.19600896160058354,0.3723068014572827,0.09076652109923514,0,1.3420868293657346,0.8333333333333334,5,"asian",0,"none",2,"LOSS",0,0,"TIMEOUT",100
0.37982,1543017600000,"short","down",0.4614290979937789,1,0,1,"none",0,0,1,3,0.003133063029856166,0.059794522356918345,"bear",1,"down",29.590040781283534,"oversold",1,22,1,0.126977440441713,0.04822857142857143,0.049353524173668,0.49749881522826594,0.025828023800747685,0,1.2782375080588515,0.8333333333333334,5,"asian",0,"none",2,"LOSS",0,0,"TIMEOUT",100
0.382,1543104000000,"short","down",0.7531937172774844,1,0,1,"none",0,0,1,2,0.00882198952879577,0.059794522356918345,"bear",1,"down",25.58339888376969,"oversold",1,22,1,0.13629020194465225,0.052062857142857154,0.2242066788503075,0.4889528795811517,0.1413089005235603,1,2.338947718485177,0.8333333333333334,5,"asian",0,"none",2,"LOSS",0,0,"TIMEOUT",100
0.36354,1543190400000,"short","down",1,1,1,0.045524564009462386,"bear",0.034864300626304905,86,1,2,0.015266545634593167,0.04435878097153553,"bear",1,"down",22.0412808036415,"oversold",1,22,1,0.1479184841125756,0.05377428571428573,0.14753281275959462,0.5645596082961984,0.09770589206139627,0,1.8728863434437115,1,6,"asian",0,"none",2,"LOSS",0,0,"TIMEOUT",100
0.365,1543276800000,"short","down",1,1,0,1,"none",0,0,1,2,0.01920547945205484,0.04435878097153553,"bear",1,"down",21.103847309888792,"oversold",1,22,1,0.14852641878669282,0.054212142857142875,0.15359694301378973,0.5583013698630136,0.10131506849315072,0,1.0254193761124972,0.8333333333333334,5,"asian",0,"none",2,"LOSS",0,0,"TIMEOUT",100
0.39203,1543363200000,"short","down",1,1,0,1,"none",0,0,1,3,0.0341810575721245,0.059794522356918345,"bear",1,"down",24.53802265179256,"oversold",1,22,1,0.12741007430189388,0.04994857142857145,0.2658664229938529,0.45085835267709096,0.16327832053669367,0,1.0549636158770466,0.8333333333333334,5,"asian",0,"none",2,"LOSS",0,0,"TIMEOUT",100
0.38149,1543449600000,"short","down",1,1,0,1,"none",0,0,1,2,0.007496919971689883,0.059794522356918345,"bear",1,"down",31.08717629675712,"neutral",1,22,1,0.12356811449841418,0.04714000000000002,0.22208838677521192,0.4909434061181157,0.14016094786232933,0,0.7047786730006304,0.8333333333333334,5,"asian",0,"none",2,"LOSS",0,0,"TIMEOUT",100
0.36466,1543536000000,"short","down",1,1,0,1,"none",0,0,1,2,0.01829101080458512,0.04435878097153553,"bear",1,"down",31.223150824025623,"neutral",1,23,1,0.1285757378693265,0.0468864285714286,0.15218474829705936,0.5597542916689519,0.1004771568035979,0,0.5331106326864175,0.8333333333333334,5,"asian",0,"none",2,"LOSS",0,0,"TIMEOUT",100
0.37205,1543622400000,"short","down",1,1,0,1,"none",0,0,1,3,0.01768579492003771,0.059794522356918345,"bear",1,"down",23.560873182520496,"oversold",1,23,1,0.12356826079444012,0.04597357142857145,0.1828792158165809,0.5287730143797875,0.11834430856067736,0,0.37619833087178944,0.8333333333333334,5,"asian",0,"none",2,"LOSS",0,0,"TIMEOUT",100
0.36963,1543708800000,"short","down",1,1,0,1,"none",0,0,1,2,0.031490950409869434,0.04435878097153553,"bear",1,"down",20.213381854271773,"oversold",1,23,1,0.1199848497145795,0.04435000000000002,0.17282771224455906,0.5387820252685116,0.1125720314909505,0,0.2780821466497935,0.8333333333333334,5,"asian",0,"none",2,"LOSS",0,0,"TIMEOUT",100
0.34827,1543795200000,"short","down",1,1,1,0.003675309386395622,"bear",0.034864300626304905,93,1,1,1,0,"mixed",1,"down",23.206570763898796,"oversold",1,23,1,0.12181025394911177,0.04242285714285716,0.08410865592291099,0.6331581818703876,0.05814454302696197,0,0.3714713863755987,1,6,"asian",0,"none",2,"LOSS",-243.62050789822348,-24.362050789822348,"SL",21
0.35231,1543881600000,"short","down",1,1,1,0.015100337770713268,"bear",0.034864300626304905,94,1,2,0.01612216513865619,0.04435878097153553,"bear",1,"down",25.41333056046585,"oversold",1,23,1,0.10505966741952098,0.03701357142857144,0.10088885196876572,0.6144304731628394,0.06894496324259894,0,0.39916899552733587,1,6,"asian",0,"none",2,"LOSS",-210.11933483904187,-21.011933483904187,"SL",20
0.3395,1543968000000,"short","down",1,1,1,0.022061855670103082,"bear",0.034864300626304905,95,1,2,1,0,"mixed",1,"down",22.688079327441272,"oversold",1,23,1,0.1033136966126657,0.03507500000000001,0.04768233925901332,0.6753460972017671,0.033814432989690855,0,0.3908904432498515,1,6,"asian",0,"none",2,"LOSS",-206.6273932253315,-20.66273932253315,"SL",19
0.30919,1544054400000,"short","down",1,1,1,0.02393350367088204,"bear",0.08172335926018849,91,1,4,0.0006145088780360554,0.009632167560928433,"bear",1,"down",24.333853534477782,"oversold",1,23,1,0.11458280391622351,0.03542785714285715,0.0094631205403138,0.839580840260034,0.008020957986998407,0,0.5868297025133037,1,6,"asian",0,"none",2,"LOSS",-229.16560783244702,-22.9165607832447,"SL",13
0.30114,1544140800000,"short","down",1,1,1,0.0021584645015606824,"bear",0.08172335926018849,92,1,3,0.0194593876602244,0.06902280130293155,"bear",1,"down",22.218703820983748,"oversold",1,23,1,0.11254139033577171,0.033890714285714295,0.05186339804449498,0.8887560603041772,0.04861526200438348,0,0.8915840389544115,1,6,"asian",0,"none",2,"LOSS",-225.08278067154347,-22.508278067154347,"SL",12
